Component,Sub-component,Weight,Primary Material,% Primary Material,Secondary Material,% Secondary Material,Lifespan,Connection Method,Target_Class
Dry-Type Marine Transformer,Cast-Resin Insulation,249.93,Epoxy Resin,73.5,Polyester Resin,23.6,19.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,95.81,Fabricated Steel,87.6,Stainless Steel,5.1,33.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Sensors and Electronics,20.83,FR4 Composite,44.6,Copper,29.7,14.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,14.33,Aluminum Alloy,76.7,Carbon Steel,11.8,13.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Secondary Copper Windings,349.85,Copper,82.8,Epoxy Resin,10.8,21.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,34.86,Copper,73.7,Carbon Steel,14.9,23.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Magnetic Core,1071.65,High-Grade Silicon Steel,99.0,Silicon Steel,2.0,31.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Primary Copper Windings,344.84,Copper,83.2,Epoxy Resin,9.5,21.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,39.69,Copper,76.6,Carbon Steel,15.5,21.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Secondary Copper Windings,357.28,Cu-ETP Copper,89.3,Epoxy Resin,10.5,20.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,92.66,Carbon Steel,94.1,Stainless Steel,4.7,33.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Sensors and Electronics,19.71,Epoxy Resin,49.5,Copper,29.5,14.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,359.94,Copper,90.3,Epoxy Resin,9.5,29.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,281.91,Epoxy Resin,68.9,Polyester Resin,20.6,20.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,1000.29,Electrical Steel,97.2,Silicon Steel,2.0,35.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,16.08,Aluminum Alloy,79.9,Carbon Steel,12.6,13.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Primary Copper Windings,363.83,Copper,87.7,Epoxy Resin,9.6,29.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,15.75,Aluminum Alloy,76.3,Carbon Steel,12.8,17.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Secondary Copper Windings,324.23,Copper,84.8,Epoxy Resin,10.3,24.0,Chemically Bonded / Cast,2.0
